x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,e,t
-0.16595599,0.44064897,-0.99977124,-0.39533487,-0.7064882,-0.8153228,-0.62747955,-0.30887854,-0.20646505,0.07763347,1,0.9339608
-0.16161098,0.370439,-0.5910955,0.7562349,-0.9452248,0.34093502,-0.1653904,0.11737966,-0.7192261,-0.603797,1,0.24294934
0.6014891,0.93652314,-0.37315163,0.38464522,0.7527783,0.7892133,-0.8299116,-0.92189044,-0.6603392,0.756285,0,15.0
-0.80330634,-0.15778475,0.91577905,0.06633057,0.38375422,-0.36896873,0.37300184,0.6692513,-0.96342343,0.5002886,0,15.0
0.97772217,0.4963313,-0.439112,0.5785587,-0.793548,-0.10421295,0.817191,-0.4127717,-0.42444932,-0.73994285,0,15.0
-0.9612661,0.35767105,-0.5767438,-0.46890667,-0.01685368,-0.8932749,0.14823522,-0.70654285,0.17861107,0.39951673,0,15.0
-0.7953311,-0.17188802,0.38880032,-0.17164145,-0.9000931,0.07179281,0.3275893,0.029778223,0.88918954,0.17311008,1,6.732693
0.8068038,-0.72505057,-0.7214473,0.6147826,-0.20464632,-0.6692916,0.8550172,-0.30446827,0.5016242,0.45199597,0,15.0
0.7666122,0.24734442,0.5018849,-0.30220333,-0.46014422,0.7917724,-0.14381762,0.9296801,0.326883,0.24339144,1,1.7507888
-0.77050805,0.89897853,-0.10017573,0.15677923,-0.1837264,-0.525946,0.80675906,0.14735897,-0.99425936,0.23428982,0,15.0
-0.3467102,0.054116204,0.7718842,-0.28546047,0.8170703,0.24672022,-0.9683575,0.85887444,0.38179383,0.9946457,1,0.44671917
-0.655319,-0.7257285,0.8651909,0.39363632,-0.8679997,0.5109261,0.50775236,0.8460491,0.4230495,-0.75145805,0,15.0
-0.9602397,-0.947578,-0.94338703,-0.50757784,0.7200559,0.077662125,0.10564396,0.68406177,-0.7516534,-0.44163263,1,13.330917
0.17151855,0.9391915,0.12206044,-0.96270543,0.6012654,-0.5340515,0.61421037,-0.22427872,0.7270837,0.4942433,0,15.0
0.11248047,-0.7270895,-0.8801646,-0.7573131,-0.91089624,-0.78501177,-0.5485813,0.42597798,0.11943396,-0.974888,1,1.6770259
-0.85605145,0.93455267,0.13620092,-0.59341353,-0.4953485,0.4876517,-0.60914105,0.16271785,0.94004,0.6936576,0,15.0
-0.5203045,-0.012460572,0.23991144,0.6579618,-0.6864172,-0.9628476,-0.8599557,-0.027309777,0.21265893,0.13770287,1,0.7327571
-0.36527517,0.97723234,0.15949044,-0.23971765,0.101896435,0.49066886,0.33846578,-0.47016087,-0.8673303,-0.2598316,0,15.0
